data,orario,ora,min,sec,PV3_RTD_0_SUD,PV3_RTD_1_EST,PV3_RTD_2_centro,PV3_RTD_3,PV3_max_RTD,PV4_RTD_0,PV4_RTD_1,PV4_RTD_2,PV4_RTD_3,PV4_max_RTD,PV5_RTD_0,PV5_RTD_1,PV5_RTD_2,PV5_RTD_3,PV6_RTD_0,PV6_RTD_1,PV6_RTD_2,PV6_RTD_3,PV6_max_RTD,PV1_RTD_0_SUD,PV1_RTD_1_EST,PV1_RTD_2_centro,PV1_RTD_3,PV2_RTD_0_SUD,PV_RTD_1_EST,PV2_RTD_2_centro,PV2_RTD_3,PV2_max_RTD,ET,after_Sav_data
04/08/2023,00:04:01,0.000000,4.000000,1.000000,21.987765,22.115256,21.968516,-242.027870,22.115256,1255.184393,23.140038,23.174552,23.747735,1255.184393,24.449755,-242.027870,23.946654,26.116386,24.201466,23.519067,24.625479,23.662718,24.625479,22.580152,22.199137,22.142204,-242.027870,22.007689,21.932275,21.874881,1255.375790,1255.375790,4.397276,0.000000
04/08/2023,00:04:05,0.000000,4.000000,5.000000,21.991599,22.113415,21.969436,1254.963860,1254.963860,1255.184393,23.142033,23.174552,23.748963,1255.184393,24.451751,-242.027870,23.948342,26.113775,24.200853,23.531034,24.623023,23.673465,24.623023,22.577083,22.196682,22.140210,1255.530602,22.012597,21.930894,21.878869,1255.375790,1255.375790,4.381504,0.000000
04/08/2023,00:04:09,0.000000,4.000000,9.000000,21.995126,22.113876,21.969436,-242.027870,22.113876,1255.184393,23.149552,23.176087,23.749731,1255.184393,24.453901,-242.027870,23.948495,26.112547,24.205763,23.545303,24.623330,23.666556,24.623330,22.575549,22.193153,22.138369,-242.027870,22.019652,21.933348,21.882396,-242.027870,22.019652,4.383283,0.000999
04/08/2023,00:04:14,0.000000,4.000000,14.000000,21.999113,22.112188,21.967596,1254.963860,1254.963860,1255.184393,23.155536,23.173324,23.749270,1255.184393,24.453594,-242.027870,23.947114,26.115157,24.208525,23.554816,24.623330,23.665635,24.623330,22.573862,22.188550,22.139903,1255.530602,22.024714,21.932735,21.883163,1255.375790,1255.375790,4.343308,0.000000
04/08/2023,00:04:18,0.000000,4.000000,18.000000,22.001260,22.107434,21.967596,-242.027870,22.107434,1255.184393,23.159678,23.174552,23.746968,1255.184393,24.452672,-242.027870,23.945886,26.117768,24.211900,23.562947,24.624098,23.689431,24.624098,22.572481,22.186709,22.147113,-242.027870,22.027015,21.930127,21.884850,1255.375790,1255.375790,4.505209,0.000000
04/08/2023,00:04:23,0.000000,4.000000,23.000000,22.004787,22.104367,21.967750,-242.027870,22.104367,-242.027870,23.165509,23.174398,23.748810,23.748810,24.450062,-242.027870,23.947728,26.120993,24.214356,23.570312,24.623177,23.703862,24.623177,22.571714,22.185022,22.150181,1255.530602,22.028242,21.929514,21.885617,1255.375790,1255.375790,4.336312,0.000998
04/08/2023,00:04:27,0.000000,4.000000,27.000000,22.007394,22.101453,21.966063,1254.963860,1254.963860,1255.184393,23.173335,23.177161,23.752187,1255.184393,24.448067,-242.027870,23.950951,26.124986,24.216197,23.578444,24.626246,23.723820,24.626246,22.570947,22.183027,22.154322,-242.027870,22.031309,21.927367,21.886077,-242.027870,22.031309,4.402270,0.001001
04/08/2023,00:04:31,0.000000,4.000000,31.000000,22.009388,22.099766,21.965449,1254.963860,1254.963860,-242.027870,23.179472,23.178235,23.752187,23.752187,24.444536,-242.027870,23.958011,26.126983,24.219266,23.578904,24.627014,23.722746,24.627014,22.571561,22.181339,22.164600,1255.530602,22.033610,21.927827,21.886077,1255.375790,1255.375790,4.349305,0.000000
04/08/2023,00:04:36,0.000000,4.000000,36.000000,22.014602,22.100226,21.966676,1254.963860,1254.963860,-242.027870,23.184996,23.178696,23.754950,23.754950,24.442847,-242.027870,23.967374,26.128058,24.221721,23.577063,24.629470,23.719215,24.629470,22.571561,22.179652,22.174878,-242.027870,22.032843,21.928900,21.885771,1255.375790,1255.375790,4.353301,0.000999
04/08/2023,00:04:40,0.000000,4.000000,40.000000,22.020122,22.100839,21.970663,-242.027870,22.100839,1255.184393,23.189292,23.181765,23.760475,1255.184393,24.443000,-242.027870,23.975816,26.130515,24.226171,23.584427,24.633614,23.716451,24.633614,22.572481,22.179498,22.187150,-242.027870,22.033763,21.933042,21.883930,1255.375790,1255.375790,4.628131,0.000000
04/08/2023,00:04:45,0.000000,4.000000,45.000000,22.026256,22.104367,21.974037,1254.963860,1254.963860,-242.027870,23.193589,23.186523,23.766615,23.766615,24.443922,-242.027870,23.982262,26.132818,24.230007,23.589644,24.638218,23.711231,24.638218,22.572635,22.179191,22.193900,1255.530602,22.041586,21.935802,21.884237,-242.027870,22.041586,4.325319,0.000999
04/08/2023,00:04:49,0.000000,4.000000,49.000000,22.027483,22.111882,21.976491,1254.963860,1254.963860,-242.027870,23.199880,23.188057,23.769225,23.769225,24.445457,-242.027870,23.986253,26.132511,24.232462,23.581666,24.638832,23.706472,24.638832,22.574169,22.179038,22.199422,1255.530602,22.043886,21.936722,21.884390,-242.027870,22.043886,4.327317,0.001000
